ddcacoa;CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;MNXM363
dgdp;Nc1nc2c(ncn2C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1;MNXM436
dgmp;Nc1nc2c(ncn2C2CC(O)C(COP(=O)(O)O)O2)c(=O)[nH]1;MNXM546
dgsn;Nc1nc2c(ncn2C2CC(O)C(CO)O2)c(=O)[nH]1;MNXM647
dgtp;Nc1nc2c(ncn2C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1;MNXM344
dha;O=CC(O)CO;MNXM435
dhap;O=C(CO)COP(=O)(O)O;MNXM77
dhf;Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)=N2;MNXM281
dhmptp;Nc1nc(=O)c2c([nH]1)NCC(C(O)C(O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)=N2;MNXM397
dhna;O=C(O)c1cc(O)c2ccccc2c1O;MNXM552
dhnpt;;
dhor-S;O=C1CC(C(=O)O)NC(=O)N1;MNXM252
dhpmp;Nc1nc(=O)c2c([nH]1)NCC(C(O)C(CO)OP(=O)(O)O)=N2;MNXM10399
dhpt;Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)O)cc1)=N2;MNXM965
dhptd;CC(=O)C(=O)C(O)CO;MNXM2449
didp;O=c1[nH]cnc2c1ncn2C1CC(O)C(COP(=O)(O)OP(=O)(O)O)O1;MNXM2174
dimp;O=c1[nH]cnc2c1ncn2C1CC(O)C(COP(=O)(O)O)O1;MNXM1922
din;O=c1[nH]cnc2c1ncn2C1CC(O)C(CO)O1;MNXM935
ditp;O=c1[nH]cnc2c1ncn2C1CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1;MNXM1325
dmlz;Cc1nc2c(=O)[nH]c(=O)nc-2n(CC(O)C(O)C(O)CO)c1C;MNXM1313
dmpp;CC(C)=CCOP(=O)(O)OP(=O)(O)O;MNXM132
dnad;Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OCC2OC([n+]3cccc(C(=O)O)c3)C(O)C2O)C(O)C1O;MNXM309
dpcoa;CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O)C(O)C(=O)NCCC(=O)NCCS;MNXM481
dscl;CC1(CC(=O)O)C2=Cc3[nH]c(c(CCC(=O)O)c3CC(=O)O)Cc3[nH]c(c(CC(=O)O)c3CCC(=O)O)C=C3NC(=CC(=N2)C1CCC(=O)O)C(C)(CC(=O)O)C3CCC(=O)O;MNXM672
dtdp;Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O;MNXM152
dtdp4aaddg;CC(=O)NC1C(C)OC(OP(=O)(O)OP(=O)(O)OCC2OC(n3cc(C)c(=O)[nH]c3=O)CC2O)C(O)C1O;MNXM3015
dtdp4addg;Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OC3OC(C)C(N)C(O)C3O)O2)c(=O)[nH]c1=O;MNXM17430
